,Age,Gender,Location,Occupation,Income Bracket,Credit Score,Channel,Device Type,Loans Accessed,Savings Accessed,Monthly Avg Balance,Loans Taken,Repayment Misses,Overdraft Events,Failed Payments,Current Plan,Payment Mode,Tickets Raised,Resolution Time (hrs),Sentiment Score,Survey Feedback,Churned,Onboarding Year,Onboarding Month,Customer Tenuer Year,Total Logins,Support Intensity
3054,49,Other,South,Student,High,391,Agent,Android,0,1,81641.63177,1,0,2,0,Platinum,Auto,2.0,25.52536666,0.479457559,Neutral,0,2018,9,7,22.400753212228622,0.0783534288318035
3055,41,Male,North,Student,Low,403,Online,Web,3,1,31074.44716,0,1,3,0,Basic,Manual,6.0,4.252788274,0.825771855,Bad,1,2012,1,13,15.0,1.4108391044721922
3056,44,Other,North,Retired,Medium,725,Branch,Android,0,1,52307.41515,1,0,2,1,Gold,Manual,3.0,20.01509517,0.046249782,Neutral,0,2017,2,8,29.0,0.14988687160961425
3057,21,Other,East,Retired,Medium,603,Branch,Web,0,1,48131.763028208115,0,1,6,1,Platinum,Auto,1.0,20.06402765,0.255726713,Bad,0,2018,7,7,15.0,0.04984044168220631
3058,41,Other,West,Student,Low,678,Agent,Android,2,1,48331.19649,0,1,1,0,Silver,Manual,3.0,9.454698848,0.266163669,Neutral,0,2015,6,10,23.0,0.3173025442935821
3059,40,Male,East,Salaried,Low,647,Agent,iOS,1,1,38784.33091,3,0,6,0,Platinum,Manual,2.0,40.31301785,0.468434793,Good,1,2020,11,5,12.0,0.04961176579341603
3060,46,Male,South,Salaried,Medium,474,Branch,Web,0,1,33451.52968,0,1,4,0,Gold,Auto,3.0,25.9640058,0.602988219,Good,0,2018,10,7,16.0,0.11554457440461673
3061,51,Male,East,Salaried,Medium,691,Agent,Web,0,1,45382.24408,1,1,2,0,Platinum,Auto,3.0,23.4682451,0.806209059,Neutral,0,2020,1,5,22.0,0.12783231073379236
3062,38,Other,South,Retired,Low,704,Online,Android,0,1,52853.10086,0,0,1,0,Platinum,Auto,1.0,75.05562731,0.119438955,Good,0,2019,9,6,20.0,0.013323451363209983
3063,47,Other,North,Retired,High,387,Agent,iOS,2,1,55873.32319,0,0,4,0,Platinum,Manual,3.0,34.21504293,0.571445776,Bad,0,2016,10,9,21.0,0.08768073172194028
3064,43,Male,West,Retired,High,548,Online,Android,1,1,34704.3149,1,0,1,0,Gold,Auto,2.0,38.88990619,1.078404743,Neutral,0,2013,1,12,32.0,0.05142722613494687
3065,37,Other,West,Retired,High,665,Branch,Web,2,1,58087.4168,1,1,1,1,Platinum,Auto,1.0,129.7993072,0.816370832,Neutral,0,2021,10,4,14.0,0.007704201367262769
3066,33,Other,East,Student,Medium,388,Branch,iOS,1,1,48131.763028208115,0,0,1,1,Silver,Manual,2.0,36.02895472,0.465194174,Neutral,0,2020,10,5,19.0,0.05551090825540331
3067,20,Female,South,Retired,High,755,Agent,iOS,0,1,22303.12833,2,1,3,0,Silver,Manual,5.0,42.99257331,-0.327894456,Neutral,1,2012,11,13,16.0,0.11629915622745496
3068,66,Male,North,Student,High,714,Branch,Android,0,1,60497.99839,1,1,4,1,Silver,Auto,0.0,44.84728874,0.640048689,Good,0,2014,4,11,27.0,0.0
3069,54,Male,South,Salaried,Low,754,Agent,Android,0,1,40438.08095,0,0,4,0,Basic,Manual,1.0,33.32420279,0.851974644,Neutral,0,2012,3,13,12.0,0.03000821974052091
3070,57,Other,East,Student,Low,810,Agent,iOS,0,1,52224.40601,1,1,2,0,Gold,Manual,1.0,24.70367251,0.80556895,Bad,0,2011,9,14,19.0,0.04047981123434995
3071,61,Other,South,Salaried,High,474,Agent,Android,3,1,40876.27509,0,2,0,0,Platinum,Manual,3.0,22.8470703,0.30102585,Bad,0,2020,5,5,15.0,0.1313078640109056
3072,42,Female,North,Retired,Medium,508,Agent,Web,1,1,61781.17727,1,1,0,0,Platinum,Auto,2.0,10.65045062,0.038910172,Neutral,0,2011,4,14,13.0,0.18778548170011608
3073,40,Male,East,Salaried,High,612,Online,Android,2,1,7042.812205,0,1,3,0,Basic,Auto,1.0,60.64493731,0.690224845,Neutral,0,2014,2,11,22.0,0.016489422602389364
3074,61,Male,North,Salaried,Low,670,Online,Web,1,1,49831.30158,0,1,4,0,Basic,Manual,0.0,23.84467455,-0.029151305,Good,0,2016,12,9,17.0,0.0
3075,18,Other,East,Student,Low,612,Branch,Web,2,1,25950.44171,2,1,1,0,Basic,Auto,0.0,42.25112405,0.626841622,Good,1,2017,10,8,19.0,0.0
3076,50,Male,West,Salaried,Low,803,Agent,Web,2,1,42127.35509,2,1,3,0,Silver,Manual,4.0,25.67550006,0.188369682,Good,1,2021,12,4,13.0,0.15579053925542122
3077,32,Other,South,Self-employed,High,385,Branch,Android,0,1,56296.50324,1,0,2,0,Basic,Auto,1.0,156.0763907,0.677372724,Good,0,2016,7,9,22.0,0.0064071189467863575
3078,34,Female,North,Salaried,Medium,565,Agent,Android,1,1,44776.58359,0,1,3,1,Basic,Manual,3.0,59.15038998,1.122229798,Good,0,2013,11,12,19.0,0.05071817786855443
3079,51,Other,North,Retired,High,519,Branch,Android,3,1,23989.38907,2,2,2,0,Platinum,Auto,3.0,38.78311978,0.67246558,Neutral,1,2021,12,4,12.0,0.07735324071445807
3080,34,Female,South,Salaried,Low,594,Online,Android,0,1,46077.90374,1,1,1,0,Platinum,Auto,1.0,21.57927155,0.388637164,Bad,0,2015,9,10,17.0,0.04634076723502745
3081,69,Other,North,Self-employed,Low,805,Branch,Web,2,1,38419.76749,2,1,4,0,Silver,Auto,4.0,10.30752975,0.231098957,Good,1,2016,6,9,16.0,0.3880658214932632
3082,58,Female,North,Student,Low,462,Agent,Web,1,1,37167.53451,1,0,1,1,Basic,Manual,2.0,11.52734078,0.916236305,Good,0,2020,2,5,17.0,0.17350055300438513
3083,61,Female,North,Salaried,Low,426,Agent,iOS,3,1,38818.49487,0,0,0,0,Basic,Manual,1.0,0.515895015,0.668491189,Neutral,0,2015,1,10,21.0,1.9383788773380568
3084,21,Male,West,Self-employed,High,416,Branch,iOS,0,1,48580.12626,0,1,2,0,Platinum,Manual,1.0,43.09063479,0.932059177,Good,0,2019,7,6,18.0,0.023206898781450973
3085,30,Other,North,Retired,High,705,Branch,iOS,1,1,33589.64151,1,0,1,0,Gold,Auto,2.0,20.04280786,0.412919737,Neutral,0,2015,3,10,19.0,0.09978641784973934
3086,21,Male,West,Retired,Medium,655,Agent,iOS,1,1,40990.70877,0,1,2,0,Gold,Auto,6.0,2.343267556,0.694029129,Good,0,2011,8,14,25.0,2.560527065992459
3087,24,Male,South,Student,Low,521,Branch,Web,2,1,48131.763028208115,3,1,0,0,Basic,Manual,2.0,101.3265214,0.219336593,Good,0,2014,4,11,22.0,0.0197381689647149
3088,63,Other,West,Retired,High,675,Online,Web,1,1,58934.30232,0,1,0,0,Gold,Manual,1.0,6.733541374,0.741856643,Bad,0,2018,1,7,18.0,0.14851026294443914
3089,26,Male,North,Self-employed,High,613,Agent,iOS,0,1,63016.56619,1,1,2,0,Silver,Auto,2.0,90.22271446,0.873173168,Bad,0,2013,7,12,15.0,0.022167366743179675
3090,40,Male,North,Salaried,Low,449,Agent,Android,1,1,71390.64143,0,2,2,0,Silver,Manual,2.0,68.0264284,0.316316907,Neutral,0,2011,12,14,16.0,0.029400338177977898
3091,50,Male,North,Self-employed,High,535,Online,iOS,2,1,66907.98915,2,1,6,0,Platinum,Auto,2.0,13.71733801,-0.096524434,Neutral,1,2011,5,14,24.0,0.14580088341790448
3092,50,Other,West,Student,Low,467,Branch,iOS,0,1,34201.22102,1,1,1,0,Basic,Manual,1.0,50.68247331,0.514850241,Neutral,0,2013,10,12,21.0,0.01973068665934054
3093,37,Male,East,Salaried,Medium,794,Online,iOS,2,1,30723.17453,2,0,0,0,Platinum,Manual,2.0,44.40821376,0.520751246,Bad,1,2012,2,13,15.0,0.04503671349648989
3095,18,Male,South,Student,Low,368,Online,Android,0,1,55261.61857,0,1,2,0,Basic,Manual,1.0,62.85427884,0.425309739,Good,0,2021,4,4,19.0,0.0159098158224927
3096,59,Other,South,Student,High,566,Branch,Android,3,1,61362.46669,1,1,7,0,Silver,Auto,3.0,51.71324345,0.217687506,Bad,1,2011,4,14,19.0,0.05801221891836297
3097,51,Female,South,Salaried,Medium,449,Branch,Android,2,1,38190.70836,2,1,1,0,Platinum,Manual,0.0,136.6951986,0.656702033,Neutral,0,2012,1,13,17.0,0.0
3098,44,Female,North,Salaried,Medium,824,Agent,Web,3,1,62769.22713,0,0,2,0,Gold,Manual,2.0,118.3083792,0.636295343,Good,0,2012,5,13,14.0,0.016904973371488805
3099,38,Female,East,Retired,High,681,Agent,Web,0,1,44959.54075,0,1,2,0,Basic,Auto,4.0,0.554716385,0.888689192,Bad,0,2012,5,13,17.0,7.210892102997823
3100,41,Female,East,Retired,Medium,673,Online,iOS,0,1,70463.08062,2,0,2,0,Gold,Manual,5.0,47.19047945,0.559915254,Bad,0,2019,9,6,16.400753212228622,0.10595357492177376
3101,32,Male,South,Salaried,Medium,805,Branch,Web,0,1,43775.96245,0,0,1,0,Silver,Manual,0.0,42.97693137,-0.216692028,Good,0,2013,6,12,28.0,0.0
3102,52,Other,East,Retired,Low,536,Online,Android,2,1,42698.25586,3,0,0,0,Platinum,Manual,2.0,91.86588561,0.01547168,Good,1,2019,7,6,20.0,0.021770867245439054
3103,42,Male,South,Salaried,High,624,Agent,Android,1,1,42537.76049,1,1,2,0,Gold,Manual,3.0,69.3286703,0.759144306,Good,0,2020,6,5,26.0,0.043272141049559405
3104,26,Other,North,Retired,Medium,549,Online,Android,0,1,64871.28951,1,1,0,1,Basic,Auto,3.0,17.19333965,0.635606383,Good,0,2014,10,11,14.0,0.17448617087024162
3105,34,Male,East,Self-employed,Medium,750,Branch,Web,1,1,59088.863,1,0,3,0,Silver,Manual,4.0,4.865202744,0.436010839,Good,0,2011,7,14,22.0,0.822165120442923
3106,38,Female,North,Student,Medium,721,Agent,Web,2,1,48131.763028208115,0,1,2,0,Silver,Manual,2.0,78.81568999,-0.152766161,Good,0,2020,4,5,21.0,0.02537565807333231
3107,30,Female,North,Salaried,Low,515,Online,Web,1,1,43596.1998,1,1,4,1,Silver,Auto,3.0,114.7565578,0.52783358,Bad,0,2019,2,6,25.0,0.026142296854428655
3108,20,Other,East,Salaried,Low,320,Online,Web,2,1,49240.2647,4,2,1,0,Basic,Manual,2.0,82.32597844,0.158774082,Neutral,0,2019,5,6,14.0,0.024293668145804304
3109,21,Male,West,Salaried,High,604,Branch,Android,0,1,89101.41709,1,1,1,0,Gold,Manual,1.0,14.59339768,1.011881893,Neutral,0,2021,11,4,22.0,0.06852413823892997
3110,21,Female,South,Self-employed,High,652,Branch,Android,1,1,57038.88055,1,1,3,0,Silver,Auto,4.0,29.31765813,0.64038362,Bad,0,2020,1,5,18.0,0.1364365455884385
3111,60,Other,East,Student,Low,744,Online,iOS,1,1,54595.8523,2,1,2,0,Gold,Auto,4.0,82.99056375,0.580472872,Bad,0,2014,8,11,23.0,0.04819825073184901
3112,45,Male,North,Retired,High,565,Branch,Android,0,1,28402.88694,0,2,1,0,Basic,Manual,4.0,26.47449145,0.550130326,Bad,0,2015,10,10,24.0,0.15108883234091358
3113,24,Other,South,Retired,High,467,Agent,Android,0,1,26552.80216,2,2,4,0,Gold,Manual,3.0,35.76197005,0.861886778,Bad,0,2012,1,13,19.0,0.08388799598583635
3114,43,Male,North,Student,High,357,Online,Android,1,1,47534.91617,1,2,2,0,Basic,Auto,4.0,8.562610116,0.632450291,Neutral,0,2019,10,6,19.0,0.46714727703479614
3115,28,Male,South,Retired,Low,623,Online,Web,3,1,54172.09832,0,2,6,0,Silver,Manual,2.0,13.1003295,0.260500662,Neutral,1,2015,4,10,16.0,0.15266791571921912
3116,41,Male,East,Salaried,Low,565,Agent,Web,2,1,81144.42769,1,0,1,0,Gold,Manual,3.0,39.61161722,0.297760404,Good,0,2016,7,9,21.400753212228622,0.07573535771938372
3117,60,Other,North,Student,Medium,361,Branch,iOS,3,1,35081.37324,2,0,3,1,Platinum,Manual,1.0,49.71578156,0.521830651,Neutral,0,2012,8,13,25.0,0.020114337311445858
3118,27,Other,South,Self-employed,Medium,388,Agent,Android,1,1,33855.9619,1,0,1,0,Platinum,Auto,2.0,128.6007142,0.742863702,Good,0,2013,5,12,17.0,0.015552013162925343
3119,54,Male,South,Student,Medium,715,Agent,Android,2,1,45673.82568,1,0,2,0,Basic,Auto,2.0,13.72955755,0.424987543,Good,0,2021,5,4,22.0,0.14567111814903314
3120,30,Female,East,Salaried,Medium,375,Online,iOS,0,1,35278.96782,0,1,2,1,Silver,Auto,1.0,17.40713553,0.662021674,Good,0,2019,2,6,21.0,0.05744770575701951
3121,61,Male,South,Student,High,704,Agent,iOS,0,1,67124.76887,2,0,1,0,Platinum,Manual,3.0,245.0918951,1.07898358,Neutral,0,2019,4,6,19.0,0.012240306839913942
3122,59,Other,South,Self-employed,High,664,Branch,Web,1,1,55161.89673,0,0,2,0,Basic,Auto,2.0,20.77783733,0.440733729,Good,0,2013,7,12,19.0,0.09625640860669882
3123,56,Male,North,Self-employed,Low,684,Online,Web,0,1,44570.75119,1,0,0,0,Platinum,Auto,0.0,40.78230319,0.522994942,Good,0,2016,4,9,14.0,0.0
3124,36,Other,East,Student,High,308,Branch,iOS,2,1,46979.4595,1,1,1,0,Basic,Manual,2.0,0.243723242,0.165792086,Good,0,2017,9,8,18.0,8.206029033537966
3126,36,Male,North,Retired,High,668,Agent,Web,1,1,60559.2467,2,1,0,0,Silver,Manual,2.0,26.33346025,0.277282651,Bad,0,2019,8,6,23.0,0.07594900104326395
3127,29,Female,West,Retired,Medium,608,Branch,iOS,2,1,60330.32647,1,0,2,0,Gold,Auto,4.0,23.03500513,0.385624779,Bad,0,2020,2,5,15.0,0.17364875663910911
3128,69,Female,North,Salaried,Low,469,Online,Android,2,1,57935.3859,1,0,1,0,Gold,Manual,3.0,49.74386439,0.610211387,Neutral,1,2017,2,8,15.0,0.060308945370217144
3129,39,Other,North,Retired,Medium,446,Agent,Android,3,1,48131.763028208115,3,2,2,0,Basic,Auto,2.0,27.70864717,-0.151392642,Neutral,1,2011,7,14,11.0,0.07217963358981268
3130,64,Male,West,Salaried,High,817,Agent,Android,5,1,48131.763028208115,2,1,3,0,Basic,Auto,3.0,24.33982425,0.284428573,Neutral,1,2016,1,9,22.0,0.12325479301683948
3131,54,Other,South,Salaried,High,379,Agent,Android,0,1,33540.7509,2,2,4,0,Basic,Auto,2.0,40.69049272,0.702530026,Good,1,2019,10,6,16.400753212228622,0.04915153064777142
3132,47,Male,East,Student,Low,751,Online,Web,0,1,11422.47547,4,0,2,0,Platinum,Auto,4.0,173.5919552,0.093274128,Neutral,1,2013,8,12,11.0,0.023042542469157004
3133,63,Male,East,Retired,Medium,765,Online,iOS,0,1,46194.4133,1,0,3,0,Platinum,Auto,0.0,18.75275695,0.564771675,Good,0,2019,2,6,23.0,0.0
3134,29,Male,West,Self-employed,High,711,Agent,Web,2,1,58635.6684,0,1,2,0,Gold,Manual,1.0,37.51821738,0.550836847,Bad,0,2014,10,11,19.0,0.02665371837557171
3136,38,Other,West,Student,High,429,Branch,iOS,1,1,56559.59111,1,2,2,0,Gold,Auto,0.0,36.94468704,0.653685339,Neutral,0,2018,8,7,18.0,0.0
3137,28,Male,South,Self-employed,High,464,Agent,Web,2,1,67081.30989,1,0,3,0,Silver,Manual,3.0,40.02986616,0.893099597,Good,0,2021,11,4,23.0,0.07494404273071895
3138,54,Male,West,Self-employed,Low,749,Branch,Android,1,1,60652.1391,1,1,0,0,Platinum,Auto,2.0,51.73970815,0.369541771,Bad,0,2014,10,11,20.0,0.038655030565726146
3139,65,Other,East,Student,Low,806,Online,iOS,2,1,31320.51774,1,1,2,0,Silver,Auto,2.0,113.5924708,0.661386815,Neutral,0,2019,11,6,15.0,0.01760680074933276
3140,35,Other,East,Self-employed,High,368,Online,iOS,2,1,55757.77106,0,0,6,1,Basic,Auto,1.0,22.63595114,-0.111460135,Neutral,0,2016,11,9,28.0,0.044177511862220784
3141,61,Male,West,Student,Low,799,Branch,Android,2,1,51014.89281,3,0,0,0,Silver,Auto,8.0,74.35356279,0.487805646,Bad,1,2015,3,10,14.0,0.10759403718951233
3142,44,Female,East,Salaried,High,434,Online,iOS,1,1,46986.46381,1,0,2,0,Silver,Manual,2.0,74.19533378,0.817709054,Good,0,2021,4,4,20.0,0.0269558730732352
3144,65,Male,East,Self-employed,High,644,Branch,Android,1,1,54715.52314,1,1,1,0,Platinum,Auto,1.0,22.62809327,0.280726715,Good,0,2021,4,4,20.0,0.044192853019824944
3145,29,Female,North,Student,Low,353,Branch,iOS,1,1,35915.1973,1,1,4,1,Platinum,Manual,1.0,67.18225413,0.607506998,Neutral,0,2015,11,10,23.0,0.01488488311310551
3146,40,Other,South,Self-employed,Medium,631,Agent,iOS,2,1,56416.25067,3,0,4,0,Basic,Auto,8.0,35.33287885,0.027018513,Neutral,1,2014,4,11,18.0,0.22641800669463422
3147,51,Female,East,Retired,Low,719,Online,Android,0,1,66381.71401,1,1,2,0,Silver,Manual,0.0,0.917414097,0.245183961,Good,0,2018,11,7,16.0,0.0
3148,55,Other,East,Self-employed,High,612,Branch,Android,1,1,48027.56769,0,0,1,1,Silver,Manual,2.0,93.19479259,1.02488996,Good,0,2021,9,4,17.0,0.021460426536907214
3149,40,Other,East,Salaried,Low,437,Branch,Android,1,1,60834.1409,1,1,1,0,Gold,Manual,1.0,51.27634144,0.357846285,Good,0,2017,7,8,20.0,0.01950217140920887
3150,42,Other,West,Student,High,654,Agent,Android,3,1,48131.763028208115,0,0,0,0,Basic,Auto,1.0,36.65909122,0.71230861,Bad,0,2018,3,7,15.0,0.027278363066851823
3151,21,Other,East,Retired,Low,801,Online,Web,0,1,68025.24686,1,1,2,0,Platinum,Manual,1.0,11.49823729,0.527677004,Bad,0,2014,11,11,22.0,0.08696985240248073
3152,47,Female,West,Salaried,Low,524,Branch,Web,1,1,40134.27221,0,1,4,0,Basic,Auto,2.0,42.99075835,1.067350179,Good,0,2013,10,12,23.0,0.04652162643230042
3153,47,Other,East,Self-employed,High,398,Online,Web,2,1,37197.30435,0,0,0,0,Silver,Manual,4.0,22.53127304,0.333222472,Bad,0,2012,1,13,22.0,0.17753102511778893
3154,30,Male,North,Self-employed,Medium,606,Branch,Android,0,1,48131.763028208115,1,0,1,0,Gold,Manual,2.0,12.69839214,0.407353517,Neutral,0,2020,5,5,17.0,0.15750025498897532
3156,66,Male,South,Retired,Medium,390,Branch,Web,2,1,45508.70805,3,0,6,1,Silver,Manual,3.0,86.09965186,0.470799471,Good,1,2012,10,13,14.0,0.03484334646181925
3157,31,Other,West,Student,Medium,673,Online,Web,0,1,11304.73604,1,1,2,0,Silver,Manual,2.0,0.055586957,0.645605039,Neutral,0,2014,6,11,28.0,35.97966335879836
3158,64,Other,South,Retired,Medium,503,Online,Android,3,1,66843.67243,3,1,4,0,Gold,Auto,4.0,61.27102041,0.722704856,Good,1,2019,11,6,19.0,0.06528371770591833
3159,25,Female,East,Salaried,Medium,416,Branch,iOS,3,1,48131.763028208115,1,1,0,0,Platinum,Auto,2.0,57.59160161,1.041382613,Good,0,2011,7,14,22.0,0.03472728564736993
3161,35,Other,North,Retired,High,430,Online,Web,0,1,45239.32432,1,0,4,1,Basic,Auto,4.0,40.89819052,0.503847334,Good,0,2019,8,6,14.0,0.09780383799728067
3162,52,Female,South,Self-employed,Medium,685,Agent,Web,1,1,55944.05695,3,2,1,0,Platinum,Manual,4.0,0.929970011,0.936171905,Bad,0,2017,1,8,19.0,4.301213966780269
3163,42,Female,East,Salaried,Medium,391,Agent,Web,0,1,47202.93875,1,1,5,1,Gold,Auto,3.0,51.46085844,0.860862746,Good,0,2014,11,11,23.0,0.058296734468543776
3164,34,Male,East,Self-employed,Medium,376,Agent,Android,0,1,37166.64265,1,1,6,0,Silver,Manual,6.0,20.76554243,0.456804726,Neutral,0,2019,1,6,25.0,0.28894020082672117
3165,49,Female,West,Retired,Medium,551,Agent,Android,0,1,49808.45058,0,0,2,1,Gold,Manual,0.0,87.11809741,0.344109578,Neutral,0,2017,5,8,12.0,0.0
3166,41,Male,East,Salaried,Medium,619,Online,Android,1,1,31946.75268,2,1,2,0,Gold,Manual,4.0,88.4909638,0.970196867,Good,1,2014,4,11,9.0,0.0452023554522524
3167,24,Other,South,Student,Medium,353,Branch,Web,1,1,35272.74528,0,0,0,0,Platinum,Auto,2.0,63.85747786,0.234196595,Bad,0,2014,10,11,26.0,0.031319746207088925
3168,30,Male,North,Student,Low,444,Branch,Web,0,1,33807.47778,1,1,2,1,Silver,Auto,0.0,29.72573564,0.482322969,Bad,0,2014,9,11,18.0,0.0
3169,44,Female,North,Retired,Medium,385,Agent,Android,0,1,45463.21495,2,0,2,1,Silver,Manual,0.0,6.94536697,0.511314843,Neutral,0,2016,10,9,24.0,0.0
3170,65,Other,East,Retired,Low,440,Branch,Android,0,1,9109.031664,1,1,1,0,Basic,Manual,1.0,20.37327595,0.692806476,Bad,0,2014,7,11,18.400753212228622,0.049083907882767376
3172,53,Male,East,Student,High,416,Online,Web,0,1,67199.04895,0,1,2,1,Silver,Auto,4.0,30.73003855,0.580664957,Neutral,0,2014,6,11,20.400753212228622,0.13016579831137245
3173,43,Male,West,Retired,Medium,446,Online,Web,0,1,49289.49355,0,1,4,0,Basic,Manual,3.0,17.29982105,0.408146368,Bad,0,2014,12,11,20.0,0.17341219838802902
3174,59,Other,East,Student,High,320,Branch,iOS,1,1,38291.34624,3,0,2,0,Platinum,Auto,0.0,12.43849519,0.194341693,Bad,0,2016,7,9,23.0,0.0
3175,62,Male,East,Salaried,High,835,Online,Android,2,1,30187.65471,1,1,2,0,Gold,Auto,2.0,1.279829084,0.810845409,Neutral,0,2016,2,9,18.0,1.5627086655580333
3176,48,Male,West,Retired,Medium,457,Agent,iOS,1,1,22383.92204,0,0,1,0,Basic,Auto,3.0,36.18499445,0.571024992,Bad,0,2015,4,10,15.0,0.08290729473913185
3177,27,Female,South,Salaried,High,775,Agent,Android,0,1,15858.48852,3,2,7,1,Basic,Manual,5.0,21.54387068,0.507796399,Good,1,2016,9,9,13.0,0.23208457172190933
3178,63,Male,West,Self-employed,High,347,Branch,Web,0,1,19790.70626,0,1,3,1,Basic,Manual,5.0,75.2318444,-0.033186061,Good,1,2018,8,7,18.0,0.06646121785098758
3179,43,Other,North,Salaried,Medium,718,Branch,Web,0,1,50278.31411,2,1,0,0,Gold,Auto,2.0,23.69112046,0.891416304,Neutral,0,2013,2,12,24.0,0.08441981473087322
3180,39,Female,West,Retired,Medium,409,Agent,Android,2,1,52794.45364,0,0,2,0,Silver,Manual,1.0,13.93703473,0.399300527,Bad,0,2016,3,9,23.0,0.0717512741679162
3181,29,Other,West,Self-employed,Medium,828,Branch,Android,1,1,47357.92374,0,1,2,0,Basic,Manual,2.0,2.309538122,0.648168362,Good,0,2015,10,10,18.0,0.8659740148684153
3182,49,Female,South,Student,Low,603,Branch,Android,0,1,31970.96106,1,1,2,0,Silver,Auto,1.0,28.98936903,0.630082532,Neutral,0,2014,9,11,20.0,0.034495404124358066
3183,44,Female,South,Salaried,Medium,781,Online,Android,1,1,41824.57495,1,0,1,0,Silver,Auto,2.0,12.65215234,0.004742358,Bad,0,2013,6,12,14.0,0.15807587090751074
3184,50,Male,East,Salaried,High,436,Online,Web,0,1,42472.51906,1,1,3,0,Basic,Manual,1.0,18.06804283,0.626406791,Bad,0,2017,5,8,23.0,0.055346337697385235
3185,69,Other,West,Retired,Medium,376,Agent,Web,0,1,18947.80699,1,0,1,0,Gold,Manual,3.0,13.39081697,0.462544932,Neutral,0,2015,3,10,17.0,0.22403412776987572
3186,37,Male,South,Student,Low,569,Agent,iOS,2,1,60680.52167,0,1,3,0,Platinum,Auto,0.0,2.288446653,0.245502303,Good,0,2018,12,7,29.0,0.0
3187,56,Female,North,Retired,High,384,Agent,Android,1,1,30366.79679,0,0,1,0,Platinum,Auto,3.0,16.20683658,0.630791659,Good,0,2011,4,14,21.0,0.18510706794576687
3188,58,Male,East,Student,Low,767,Agent,iOS,2,1,70995.11016,1,1,4,0,Platinum,Auto,5.0,47.46046718,0.240188103,Neutral,1,2016,5,9,20.0,0.10535083822577744
3189,57,Female,West,Retired,High,541,Agent,Web,1,1,56523.03148,1,0,2,0,Gold,Auto,8.0,7.543502435,0.873201984,Neutral,0,2013,11,12,23.0,1.060515333418859
3190,30,Female,North,Student,Medium,363,Online,Android,0,1,36399.10055,1,0,3,0,Platinum,Manual,4.0,44.99359676,0.254004984,Neutral,0,2019,12,6,24.0,0.08890153906424439
3191,31,Other,South,Self-employed,Low,539,Branch,Android,3,1,55908.22013,2,1,5,0,Gold,Manual,2.0,312.7657544,-0.151867085,Neutral,1,2015,12,10,15.0,0.0063945619744614855
3193,57,Other,North,Self-employed,High,697,Agent,iOS,1,1,38364.34678,2,1,1,1,Platinum,Auto,2.0,7.338549395,0.403485603,Neutral,0,2021,1,4,18.0,0.2725334248431532
3194,39,Other,West,Retired,Medium,348,Online,Android,1,1,69618.60829,2,1,2,1,Silver,Manual,2.0,56.78683011,0.634491417,Neutral,0,2016,3,9,16.0,0.0352194337335939
3195,35,Male,North,Retired,Medium,752,Online,Android,1,1,54980.82315,3,1,1,0,Basic,Manual,3.0,18.85122896,0.126190643,Bad,0,2020,10,5,10.0,0.1591408181591573
3196,65,Other,East,Retired,High,444,Online,iOS,0,1,23981.42003,1,0,2,0,Basic,Manual,2.0,21.49078397,0.316136927,Neutral,1,2022,1,3,15.0,0.09306314757022799
3197,46,Other,West,Salaried,Low,697,Online,Web,0,1,63568.51148,0,0,3,0,Gold,Auto,3.0,60.69118298,0.459184524,Neutral,1,2018,7,7,6.0,0.04943057381149765
3199,33,Female,North,Student,High,727,Branch,Web,1,1,50337.11881,0,1,1,0,Platinum,Manual,3.0,5.180697291,0.423869701,Neutral,0,2012,10,13,13.0,0.5790726289319497
3200,63,Female,East,Salaried,Medium,316,Online,Android,1,1,59189.45245,1,1,2,0,Silver,Auto,2.0,33.7157575,0.563437557,Bad,0,2015,1,10,16.0,0.05931944432807122
3201,52,Other,West,Student,High,380,Online,Android,1,1,46995.4036,2,0,0,0,Silver,Manual,1.0,17.86527997,0.203970455,Bad,0,2021,10,4,23.0,0.05597449363677674
3202,51,Female,East,Student,Low,483,Agent,Android,1,1,59140.35745,2,1,3,0,Gold,Auto,1.0,35.00069158,0.491539242,Neutral,0,2014,12,11,19.0,0.028570864027481595
3203,20,Female,South,Student,High,766,Branch,Android,3,1,36471.89582,2,1,2,1,Platinum,Manual,2.0,1.207753029,0.634935807,Good,1,2015,9,10,18.0,1.6559676953623272
3204,21,Male,North,Student,High,582,Agent,Android,1,1,30006.15088,0,1,1,0,Gold,Auto,3.0,0.052502189,0.630427252,Neutral,0,2013,10,12,23.0,57.14047465716144
3205,22,Female,East,Student,Medium,370,Online,iOS,2,1,41605.05138,4,0,2,0,Platinum,Manual,3.0,152.6680908,0.081138313,Neutral,1,2021,5,4,16.0,0.019650471714682635
3206,27,Male,South,Self-employed,Low,389,Agent,iOS,2,1,48272.18002,1,1,4,1,Silver,Auto,2.0,0.760654244,0.165803686,Good,1,2012,5,13,9.0,2.6293155080325823
3207,69,Female,South,Salaried,Medium,664,Online,Android,3,1,57799.517,1,0,1,0,Basic,Auto,0.0,4.806118492,0.512509328,Bad,0,2012,10,13,20.0,0.0
3208,46,Other,East,Student,Medium,502,Branch,Web,3,1,68928.01222,0,0,1,0,Silver,Auto,2.0,0.189953461,0.305290839,Good,0,2021,10,4,18.0,10.528894759122078
